episodes,explored_states,score
10000,4257,-183.145
20000,6448,-192.15499999999992
30000,9293,-247.0639999999999
40000,11515,-193.53300000000007
50000,13417,-202.47199999999992
60000,14910,-204.93299999999985
70000,16178,-225.023
80000,17203,-220.78999999999985
90000,18201,-203.067
100000,19036,-187.63399999999996
110000,19815,-219.8609999999999
120000,20563,-221.37599999999995
130000,21154,-165.8160000000001
140000,21707,-176.28199999999998
150000,22134,-175.45199999999997
160000,22591,-161.52900000000002
170000,23071,-151.02400000000011
180000,23420,-136.74800000000008
190000,23809,-165.0740000000001
200000,24129,-143.89800000000002
210000,24453,-149.82000000000005
220000,24739,-165.06600000000003
230000,25035,-124.59100000000004
240000,25305,-145.7670000000001
250000,25588,-156.07500000000005
260000,25834,-130.87400000000008
270000,26051,-136.67800000000008
280000,26394,-134.04
290000,26719,-137.6790000000001
300000,27007,-156.39800000000005
310000,27287,-169.50400000000008
320000,27555,-150.78200000000007
330000,27814,-135.65800000000002
340000,28077,-146.4480000000001
350000,28327,-142.2770000000001
360000,28599,-141.51800000000011
370000,28848,-126.883
380000,29044,-168.665
390000,29239,-129.05000000000004
400000,29427,-143.00500000000002
410000,29599,-152.04399999999995
420000,29739,-133.03900000000004
430000,29859,-152.85000000000008
440000,30033,-136.03600000000003
450000,30202,-129.21800000000002
460000,30364,-146.4060000000001
470000,30540,-164.47300000000007
480000,30692,-109.40900000000003
490000,30825,-120.59800000000004
500000,31000,-140.32500000000002
510000,31165,-130.3260000000001
520000,31290,-125.78600000000004
530000,31439,-126.237
540000,31599,-143.643
550000,31751,-153.4470000000001
560000,31868,-125.11300000000008
570000,32001,-133.92100000000002
580000,32121,-146.38700000000009
590000,32248,-127.75000000000009
600000,32359,-132.03200000000004
610000,32473,-120.81800000000008
620000,32578,-148.1240000000001
630000,32676,-148.63700000000009
640000,32779,-140.37100000000007
650000,32879,-134.98900000000006
660000,32986,-129.87500000000006
670000,33101,-111.26800000000004
680000,33231,-96.65500000000006
690000,33320,-153.05100000000004
700000,33418,-123.83400000000005
710000,33508,-132.31000000000003
720000,33608,-117.71300000000004
730000,33687,-132.6600000000001
740000,33803,-138.69800000000004
750000,33918,-134.2290000000001
760000,34018,-130.03400000000002
770000,34109,-112.32600000000008
780000,34214,-136.908
790000,34323,-132.50300000000007
800000,34436,-129.97600000000008
810000,34529,-111.38200000000006
820000,34640,-151.90000000000006
830000,34747,-144.151
840000,34839,-135.4480000000001
850000,34934,-129.97100000000003
860000,35045,-127.26700000000008
870000,35133,-121.62700000000012
880000,35237,-118.38600000000004
890000,35326,-137.68900000000008
900000,35393,-126.51500000000006
910000,35533,-158.37700000000012
920000,35656,-121.34900000000005
930000,35782,-136.633
940000,35911,-128.18399999999997
950000,36034,-139.59100000000012
960000,36124,-122.67300000000009
970000,36253,-134.588
980000,36377,-123.34400000000008
990000,36480,-114.11400000000005
