episodes,explored_states,score
1470000,1262,-7.946000000000005
1480000,1263,-7.807000000000003
1490000,1264,-8.195000000000011
1500000,1267,-7.695000000000005
1510000,1268,-7.552000000000006
1520000,1269,-7.503000000000005
1530000,1270,-7.847000000000004
1540000,1272,-7.900000000000006
1550000,1272,-8.222000000000007
1560000,1273,-7.751000000000006
1570000,1274,-8.107000000000006
1580000,1274,-7.535000000000008
1590000,1275,-8.27200000000001
1600000,1276,-8.035000000000007
1610000,1279,-7.945000000000006
1620000,1282,-7.999000000000002
1630000,1282,-8.574000000000009
1640000,1282,-7.583000000000002
1650000,1283,-8.101000000000004
1660000,1285,-8.056000000000006
1670000,1287,-8.49600000000001
1680000,1287,-7.654000000000004
1690000,1291,-8.183000000000007
1700000,1293,-7.732000000000005
1710000,1295,-7.40700000000001
1720000,1299,-7.718000000000009
1730000,1299,-7.987000000000005
1740000,1302,-7.866000000000007
1750000,1303,-7.983000000000008
1760000,1303,-8.459000000000003
1770000,1305,-7.302000000000008
1780000,1308,-7.938000000000008
1790000,1309,-8.22200000000001
1800000,1312,-8.055000000000007
1810000,1315,-7.731000000000005
1820000,1318,-8.316000000000004
1830000,1321,-8.696000000000005
1840000,1328,-7.568000000000008
1850000,1330,-7.8680000000000065
1860000,1333,-8.010000000000009
1870000,1336,-8.104000000000005
1880000,1340,-8.292000000000007
1890000,1343,-7.944000000000008
1900000,1345,-7.351000000000006
1910000,1348,-7.732000000000005
1920000,1350,-7.473000000000006
1930000,1350,-7.727000000000005
1940000,1353,-8.324000000000007
1950000,1357,-7.713000000000007
1960000,1357,-7.380000000000006
1970000,1357,-7.839000000000004
1980000,1359,-7.650000000000005
1990000,1377,-8.096000000000007
2000000,1393,-7.646000000000004
2010000,1408,-8.002000000000008
2020000,1415,-8.070000000000004
2030000,1422,-8.059000000000006
2040000,1430,-7.848000000000005
2050000,1435,-7.801000000000004
2060000,1436,-8.12600000000001
2070000,1437,-7.936000000000006
2080000,1438,-7.958000000000009
2090000,1438,-8.142000000000005
2100000,1439,-7.634000000000004
2110000,1440,-7.980000000000006
2120000,1441,-7.266000000000007
2130000,1442,-7.862000000000007
2140000,1442,-7.968000000000005
2150000,1443,-7.742000000000008
2160000,1444,-7.792000000000004
2170000,1445,-7.662000000000007
2180000,1445,-7.916000000000005
2190000,1445,-8.042000000000007
2200000,1445,-7.736000000000006
2210000,1445,-7.078000000000006
2220000,1445,-7.4050000000000065
2230000,1445,-7.9530000000000065
2240000,1447,-8.08600000000001
2250000,1449,-7.65100000000001
2260000,1449,-8.220000000000004
2270000,1450,-7.880000000000004
2280000,1450,-7.675000000000009
2290000,1450,-7.654000000000008
2300000,1450,-7.2720000000000065
2310000,1452,-8.040000000000006
2320000,1452,-7.984000000000008
2330000,1453,-7.789000000000008
2340000,1455,-7.579000000000005
2350000,1456,-8.254000000000007
2360000,1456,-7.7210000000000045
2370000,1457,-7.463000000000006
2380000,1457,-7.547000000000006
2390000,1459,-7.896000000000007
2400000,1460,-7.680000000000007
2410000,1462,-7.934000000000009
2420000,1462,-8.18200000000001
2430000,1463,-7.5620000000000065
2440000,1464,-7.826000000000004
2450000,1464,-7.350000000000007
2460000,1465,-8.164000000000005
2470000,1466,-8.011000000000003
2480000,1467,-7.661000000000005
2490000,1471,-7.925000000000007
2500000,1471,-7.854000000000008
2510000,1472,-7.51500000000001
2520000,1472,-7.918000000000007
2530000,1472,-7.935000000000006
2540000,1473,-7.898000000000007
2550000,1473,-7.604000000000005
2560000,1473,-8.061000000000007
2570000,1473,-7.843000000000004
2580000,1473,-8.21600000000001
2590000,1474,-7.555000000000003
2600000,1474,-7.8520000000000065
2610000,1476,-8.17700000000001
2620000,1476,-8.058000000000005
2630000,1476,-7.711000000000006
2640000,1478,-7.515000000000006
2650000,1479,-7.6180000000000065
2660000,1481,-7.82900000000001
2670000,1481,-7.476000000000006
2680000,1482,-8.283000000000008
2690000,1483,-7.843000000000004
2700000,1483,-8.402000000000008
2710000,1483,-7.618000000000007
2720000,1484,-7.27700000000001
2730000,1484,-7.773000000000003
2740000,1484,-8.261000000000008
2750000,1485,-7.396000000000011
2760000,1487,-7.3940000000000055
2770000,1489,-7.717000000000009
2780000,1491,-7.714000000000006
2790000,1495,-7.358000000000008
2800000,1495,-7.888000000000004
2810000,1495,-7.4510000000000085
2820000,1499,-7.370000000000004
2830000,1500,-8.259000000000006
2840000,1500,-7.795000000000008
2850000,1502,-7.881000000000004
2860000,1502,-8.554000000000007
2870000,1503,-8.338000000000008
2880000,1503,-8.320000000000007
2890000,1504,-7.763000000000005
2900000,1504,-7.511000000000007
2910000,1504,-7.5040000000000076
2920000,1504,-8.118000000000007
2930000,1506,-8.266000000000002
2940000,1506,-7.8110000000000035
2950000,1507,-7.568000000000005
2960000,1508,-8.166000000000006
2970000,1508,-8.026000000000009
2980000,1508,-8.144000000000004
2990000,1510,-7.795000000000004
3000000,1510,-7.923000000000005
3010000,1510,-7.972000000000008
3020000,1512,-6.8910000000000045
3030000,1512,-7.780000000000006
3040000,1514,-7.801000000000008
3050000,1514,-7.553000000000008
3060000,1514,-8.174000000000007
3070000,1514,-7.571000000000006
3080000,1515,-8.045000000000009
3090000,1515,-7.6180000000000065
3100000,1516,-8.059000000000005
3110000,1517,-7.643000000000006
3120000,1518,-7.811000000000006
3130000,1519,-7.876000000000007
3140000,1520,-7.776000000000006
3150000,1521,-7.362000000000005
3160000,1523,-7.6490000000000045
3170000,1524,-7.298000000000007
3180000,1524,-7.370000000000007
3190000,1525,-7.9130000000000065
3200000,1525,-8.034000000000006
3210000,1526,-8.553000000000008
3220000,1526,-8.201000000000006
3230000,1527,-7.4370000000000065
3240000,1528,-7.808000000000009
3250000,1528,-7.631000000000003
3260000,1528,-7.727000000000007
3270000,1529,-7.844000000000007
3280000,1529,-7.671000000000006
3290000,1529,-8.22400000000001
3300000,1530,-7.677000000000006
3310000,1530,-8.018000000000006
3320000,1531,-7.913000000000006
3330000,1534,-7.646000000000006
3340000,1537,-7.971000000000006
3350000,1537,-7.704000000000009
3360000,1537,-7.427000000000005
3370000,1537,-7.529000000000008
3380000,1538,-7.708000000000007
3390000,1538,-7.8250000000000055
3400000,1539,-8.063000000000006
3410000,1539,-7.928000000000009
3420000,1539,-8.162000000000008
3430000,1539,-7.839000000000004
3440000,1539,-8.153000000000008
3450000,1541,-7.691000000000007
3460000,1541,-8.055000000000005
3470000,1541,-8.179000000000006
3480000,1543,-7.294000000000006
3490000,1543,-7.652000000000005
3500000,1543,-8.389000000000005
3510000,1543,-7.335000000000009
3520000,1545,-7.697000000000007
3530000,1545,-7.716000000000007
3540000,1545,-7.852000000000007
3550000,1545,-7.3120000000000065
3560000,1545,-7.900000000000005
3570000,1545,-7.801000000000005
3580000,1545,-7.7720000000000065
3590000,1545,-7.466000000000007
3600000,1545,-7.763000000000006
3610000,1546,-7.441000000000008
3620000,1546,-8.362000000000004
3630000,1547,-7.7940000000000085
3640000,1547,-7.471000000000006
3650000,1549,-7.982000000000005
3660000,1549,-7.894000000000006
3670000,1549,-7.571000000000006
3680000,1550,-7.419000000000008
3690000,1551,-8.263000000000007
3700000,1551,-7.694000000000006
3710000,1552,-7.880000000000008
3720000,1552,-8.074000000000005
3730000,1553,-8.001000000000007
3740000,1553,-7.761000000000007
3750000,1553,-7.765000000000007
3760000,1553,-7.9510000000000085
3770000,1553,-7.670000000000005
3780000,1553,-7.893000000000008
3790000,1553,-7.769000000000005
3800000,1559,-7.773000000000008
3810000,1561,-7.767000000000005
3820000,1562,-8.373000000000008
3830000,1563,-7.566000000000006
3840000,1564,-6.914000000000004
3850000,1565,-7.866000000000005
3860000,1566,-8.022000000000007
3870000,1566,-7.252000000000004
3880000,1567,-7.571000000000007
3890000,1567,-7.914000000000008
3900000,1570,-7.622000000000006
3910000,1572,-7.594000000000006
3920000,1573,-7.663000000000012
3930000,1573,-7.552000000000005
3940000,1574,-7.632000000000006
3950000,1575,-7.095000000000006
3960000,1575,-7.889000000000006
3970000,1575,-7.556000000000006
3980000,1576,-7.189000000000005
3990000,1576,-7.382000000000008
4000000,1577,-7.823000000000007
4010000,1579,-7.602000000000008
4020000,1580,-7.713000000000005
4030000,1580,-7.656000000000007
4040000,1582,-7.628000000000005
4050000,1582,-6.713000000000007
4060000,1583,-7.2000000000000055
4070000,1583,-8.052000000000007
4080000,1584,-7.584000000000003
4090000,1584,-7.778000000000008
4100000,1584,-7.5990000000000055
4110000,1584,-8.317000000000005
4120000,1584,-8.200000000000006
