episodes,explored_states,score
950000,34590,-250.38199999999975
960000,34687,-278.3799999999998
970000,34763,-249.10799999999983
980000,34833,-256.506
990000,34910,-259.683
1000000,34975,-259.7099999999998
1010000,35057,-246.82599999999985
1020000,35135,-250.35399999999993
1030000,35205,-245.49899999999982
1040000,35309,-275.56799999999976
1050000,35393,-248.72499999999988
1060000,35467,-250.59699999999992
1070000,35528,-271.0909999999999
1080000,35605,-234.31599999999983
1090000,35662,-261.80299999999994
1100000,35742,-238.60199999999998
1110000,35805,-231.57500000000007
1120000,35878,-251.7369999999999
1130000,35957,-277.724
1140000,36025,-245.2970000000001
1150000,36088,-262.0049999999999
1160000,36159,-243.84099999999992
1170000,36219,-268.10299999999984
1180000,36311,-257.4379999999999
1190000,36399,-262.67599999999993
1200000,36467,-273.9519999999998
1210000,36540,-268.32999999999987
1220000,36623,-264.25399999999985
1230000,36689,-275.36799999999994
1240000,36767,-254.8109999999997
1250000,36837,-226.1959999999998
1260000,36910,-226.3119999999999
1270000,36995,-262.1999999999999
1280000,37056,-243.36599999999976
1290000,37131,-241.43699999999987
1300000,37193,-243.51399999999973
1310000,37293,-262.4309999999998
1320000,37372,-255.659
1330000,37437,-221.537
1340000,37509,-214.44299999999996
1350000,37560,-228.96499999999992
1360000,37630,-246.35599999999977
1370000,37674,-236.767
1380000,37734,-212.56999999999996
1390000,37809,-255.78699999999986
1400000,37900,-254.92399999999995
1410000,37959,-226.76899999999995
1420000,38036,-247.5679999999998
1430000,38097,-271.52
1440000,38164,-261.8939999999999
1450000,38218,-265.71399999999977
1460000,38271,-269.33999999999986
1470000,38340,-228.97899999999984
1480000,38427,-245.45899999999992
1490000,38476,-227.59599999999995
1500000,38545,-250.1059999999999
1510000,38604,-234.67099999999994
1520000,38661,-256.3839999999998
1530000,38715,-239.6319999999999
1540000,38763,-231.04399999999998
1550000,38819,-241.07699999999988
1560000,38884,-237.45899999999986
1570000,38942,-215.92999999999995
1580000,38992,-253.40699999999975
1590000,39049,-253.7289999999999
1600000,39111,-235.43299999999988
1610000,39167,-219.51099999999994
1620000,39218,-217.48999999999992
1630000,39266,-244.8999999999999
1640000,39320,-243.60999999999984
1650000,39400,-240.11799999999982
1660000,39484,-262.6429999999998
1670000,39551,-241.35399999999984
1680000,39605,-221.12499999999997
1690000,39661,-214.33399999999997
1700000,39716,-249.65599999999992
1710000,39771,-224.0559999999998
1720000,39819,-242.53099999999984
1730000,39866,-212.81699999999984
1740000,39909,-236.44299999999998
1750000,39975,-240.93299999999988
1760000,40030,-266.3379999999999
1770000,40094,-226.58999999999986
1780000,40142,-227.76899999999995
1790000,40186,-261.35200000000003
1800000,40219,-239.69699999999986
1810000,40268,-233.08199999999997
1820000,40329,-217.31100000000004
1830000,40382,-220.09699999999987
1840000,40427,-246.5739999999999
1850000,40479,-235.1149999999999
1860000,40523,-224.19099999999995
1870000,40570,-216.7729999999999
1880000,40620,-230.31199999999993
1890000,40669,-215.8369999999999
1900000,40719,-240.887
1910000,40785,-222.86499999999987
1920000,40830,-216.41899999999995
1930000,40874,-223.10499999999985
1940000,40919,-239.91099999999983
1950000,40964,-254.62999999999985
1960000,41023,-224.81299999999993
1970000,41078,-229.71999999999989
1980000,41138,-221.79399999999998
1990000,41185,-256.44499999999994
2000000,41236,-191.77999999999992
2010000,41284,-234.13399999999984
2020000,41324,-240.7989999999999
2030000,41360,-218.76999999999995
2040000,41399,-251.18799999999996
2050000,41443,-235.1959999999999
2060000,41489,-220.6869999999999
2070000,41538,-228.21199999999993
2080000,41588,-227.97600000000003
2090000,41634,-270.3319999999999
2100000,41677,-250.57799999999986
2110000,41723,-237.8329999999999
2120000,41757,-228.194
2130000,41819,-208.9169999999999
2140000,41861,-226.57100000000003
2150000,41897,-212.06900000000002
2160000,41938,-207.91
2170000,41982,-228.86700000000008
2180000,42025,-240.54
2190000,42062,-230.40799999999982
2200000,42090,-236.27099999999987
2210000,42134,-228.08800000000008
2220000,42166,-210.84499999999989
2230000,42213,-199.1589999999999
2240000,42235,-234.97899999999993
2250000,42271,-207.5830000000001
2260000,42310,-228.76899999999995
2270000,42346,-234.64399999999995
2280000,42383,-236.7619999999999
2290000,42415,-231.15699999999993
2300000,42462,-247.3309999999999
2310000,42493,-203.47299999999984
2320000,42533,-235.77999999999992
2330000,42588,-211.132
2340000,42624,-231.51900000000006
2350000,42655,-211.14199999999997
2360000,42690,-222.94299999999993
2370000,42728,-218.77700000000004
2380000,42754,-209.70599999999988
2390000,42799,-201.09299999999993
2400000,42836,-231.17699999999994
2410000,42870,-215.87000000000006
2420000,42906,-209.30399999999992
2430000,42933,-231.72799999999984
2440000,42971,-232.61899999999991
2450000,43008,-221.1600000000001
2460000,43069,-234.47699999999995
2470000,43113,-223.06299999999993
2480000,43157,-205.94500000000005
2490000,43214,-202.86699999999982
2500000,43267,-216.4869999999999
2510000,43309,-236.13599999999985
2520000,43364,-228.1059999999999
2530000,43412,-225.83699999999993
2540000,43480,-203.8979999999999
2550000,43521,-231.61999999999986
2560000,43573,-222.34399999999997
2570000,43615,-204.289
2580000,43664,-222.81699999999992
2590000,43699,-227.03699999999998
2600000,43747,-195.3049999999999
2610000,43830,-246.4369999999998
2620000,43881,-236.7689999999998
2630000,43926,-261.4189999999999
2640000,43967,-233.68199999999993
2650000,44013,-204.98099999999994
2660000,44057,-231.45199999999988
2670000,44103,-211.97499999999997
2680000,44140,-248.57399999999987
2690000,44171,-226.82799999999992
2700000,44203,-236.68499999999992
2710000,44252,-222.32599999999977
2720000,44307,-247.34799999999993
2730000,44354,-236.47500000000008
2740000,44420,-227.67899999999992
2750000,44468,-231.82399999999996
2760000,44508,-213.22699999999978
2770000,44558,-273.00399999999996
2780000,44602,-229.37599999999995
2790000,44650,-231.46999999999989
2800000,44709,-227.96200000000005
2810000,44748,-229.96699999999987
2820000,44794,-247.09499999999997
2830000,44853,-251.4199999999999
2840000,44929,-224.98499999999993
2850000,44990,-231.96999999999977
2860000,45037,-230.44099999999995
2870000,45091,-229.12299999999988
2880000,45138,-235.6529999999999
2890000,45195,-231.52599999999975
2900000,45234,-229.59799999999987
2910000,45271,-243.60599999999994
2920000,45316,-224.41499999999994
2930000,45392,-219.61299999999986
2940000,45432,-227.9139999999999
2950000,45495,-230.61499999999995
2960000,45535,-250.82099999999983
2970000,45584,-244.02900000000002
2980000,45636,-223.83
2990000,45677,-211.69300000000007
3000000,45721,-216.15899999999988
3010000,45772,-247.07799999999992
3020000,45816,-256.3609999999999
3030000,45853,-221.28699999999998
3040000,45901,-185.41799999999995
3050000,45950,-227.95799999999997
3060000,45998,-209.82000000000008
3070000,46054,-209.40999999999997
3080000,46085,-208.461
3090000,46116,-223.02699999999987
3100000,46142,-221.2959999999999
3110000,46173,-214.24899999999994
3120000,46215,-219.97199999999992
3130000,46244,-243.5959999999998
3140000,46286,-228.575
3150000,46315,-256.3139999999999
3160000,46337,-219.09999999999985
3170000,46367,-237.6959999999998
3180000,46407,-200.37600000000012
3190000,46447,-235.89700000000002
3200000,46481,-196.06500000000008
3210000,46512,-237.99599999999992
3220000,46549,-230.16100000000003
3230000,46574,-228.27299999999988
3240000,46605,-235.69299999999996
3250000,46639,-244.81699999999992
3260000,46669,-212.49099999999996
3270000,46694,-252.63399999999984
3280000,46727,-221.41599999999994
3290000,46758,-226.99099999999987
3300000,46787,-246.31499999999997
3310000,46824,-220.86699999999982
3320000,46858,-225.54399999999984
3330000,46890,-229.5459999999999
3340000,46927,-245.58299999999986
3350000,46955,-229.32499999999993
3360000,46990,-235.4559999999998
3370000,47018,-242.3660000000001
3380000,47037,-211.92999999999992
3390000,47071,-208.60699999999989
3400000,47096,-245.94599999999988
3410000,47139,-198.294
3420000,47166,-239.4089999999998
3430000,47202,-213.03599999999992
3440000,47225,-253.1159999999999
3450000,47245,-240.95199999999994
3460000,47272,-244.0539999999998
3470000,47301,-245.21899999999982
3480000,47332,-253.77799999999996
3490000,47367,-232.48399999999998
3500000,47404,-222.79399999999987
3510000,47442,-265.9589999999999
3520000,47476,-248.74399999999991
3530000,47501,-245.34400000000008
3540000,47528,-232.75799999999992
3550000,47553,-244.85799999999983
3560000,47577,-244.83599999999984
3570000,47607,-259.203
3580000,47635,-240.93899999999988
3590000,47663,-220.97000000000003
3600000,47689,-221.23699999999997
3610000,47716,-238.50699999999986
3620000,47740,-254.25699999999983
3630000,47773,-245.79100000000008
3640000,47801,-214.81900000000007
3650000,47830,-245.6219999999998
3660000,47856,-263.03399999999976
3670000,47877,-232.2629999999999
3680000,47902,-223.61199999999985
3690000,47924,-240.909
3700000,47959,-241.2859999999998
3710000,47990,-258.3869999999999
3720000,48021,-260.89799999999997
3730000,48040,-239.14099999999988
3740000,48060,-242.474
3750000,48090,-225.601
3760000,48107,-249.14800000000002
3770000,48125,-265.502
3780000,48156,-271.74999999999983
3790000,48188,-234.895
3800000,48207,-249.8289999999999
3810000,48233,-267.48799999999994
3820000,48259,-220.75900000000004
3830000,48286,-263.5309999999999
3840000,48310,-257.08099999999996
3850000,48341,-231.96999999999997
3860000,48367,-238.59899999999993
3870000,48394,-230.05499999999992
3880000,48416,-227.53699999999984
3890000,48446,-260.16499999999985
3900000,48464,-261.705
3910000,48496,-240.37399999999997
3920000,48522,-247.98599999999996
3930000,48558,-226.20199999999994
3940000,48586,-249.49699999999993
3950000,48628,-230.61499999999995
3960000,48654,-253.9489999999999
3970000,48676,-276.75799999999987
3980000,48698,-265.17899999999986
3990000,48718,-290.1969999999999
4000000,48753,-261.00000000000006
4010000,48780,-251.39199999999997
4020000,48797,-271.108
4030000,48817,-257.66700000000003
4040000,48834,-217.31000000000003
4050000,48855,-233.34899999999988
4060000,48870,-220.05400000000006
4070000,48890,-241.34299999999993
4080000,48921,-309.74699999999984
4090000,48941,-235.05700000000002
4100000,48968,-245.30099999999996
4110000,48975,-231.40300000000002
4120000,48994,-271.12199999999984
4130000,49016,-216.83999999999997
4140000,49036,-244.91499999999996
4150000,49064,-246.94499999999985
4160000,49081,-218.42699999999996
4170000,49095,-256.9609999999999
4180000,49118,-219.39199999999994
4190000,49141,-259.7169999999998
4200000,49164,-270.286
4210000,49194,-234.46900000000005
4220000,49220,-248.44299999999987
4230000,49241,-248.66799999999992
4240000,49260,-241.09099999999987
4250000,49275,-215.81699999999998
4260000,49295,-250.4359999999997
4270000,49316,-225.02099999999987
4280000,49342,-258.038
4290000,49353,-221.8739999999999
4300000,49379,-247.07200000000003
4310000,49401,-260.90999999999997
4320000,49416,-263.5959999999999
4330000,49438,-272.4699999999998
4340000,49463,-281.8779999999998
4350000,49475,-226.01499999999996
4360000,49510,-252.985
4370000,49525,-247.21499999999992
4380000,49550,-272.1979999999999
4390000,49563,-257.87299999999993
4400000,49587,-273.6649999999998
4410000,49616,-237.7349999999999
4420000,49639,-212.4759999999999
4430000,49655,-244.45299999999995
4440000,49679,-244.61200000000005
4450000,49695,-254.47499999999985
4460000,49710,-263.87399999999997
4470000,49727,-235.33099999999985
4480000,49741,-216.28399999999993
4490000,49774,-203.63500000000005
4500000,49807,-244.01399999999987
4510000,49826,-208.94200000000004
4520000,49856,-264.78999999999985
4530000,49882,-262.49199999999996
4540000,49910,-243.84199999999987
4550000,49926,-248.88500000000005
4560000,49952,-249.03900000000002
4570000,49973,-232.32199999999978
4580000,50001,-257.80199999999996
4590000,50040,-235.30799999999985
4600000,50053,-249.5529999999999
4610000,50082,-242.726
4620000,50093,-260.1769999999998
4630000,50113,-231.65900000000002
4640000,50134,-241.93999999999988
4650000,50157,-270.072
4660000,50188,-242.46600000000007
4670000,50209,-246.12799999999993
4680000,50226,-259.55499999999995
4690000,50246,-249.08099999999988
4700000,50270,-269.72399999999993
4710000,50291,-241.46199999999996
4720000,50308,-232.0420000000001
4730000,50339,-283.9869999999999
4740000,50359,-236.32899999999998
4750000,50383,-260.1249999999998
4760000,50401,-270.25899999999984
4770000,50419,-260.26699999999994
4780000,50431,-258.799
4790000,50446,-238.21499999999997
4800000,50464,-215.55699999999993
4810000,50482,-289.5389999999999
4820000,50504,-235.91799999999984
4830000,50525,-262.0189999999999
4840000,50537,-225.78399999999993
4850000,50558,-265.1799999999999
4860000,50580,-261.4429999999999
4870000,50597,-279.77399999999994
4880000,50606,-265.724
4890000,50637,-215.42399999999995
4900000,50657,-245.0759999999998
4910000,50679,-252.79
4920000,50697,-259.387
4930000,50719,-253.17199999999985
4940000,50741,-229.37399999999982
4950000,50755,-250.824
4960000,50768,-256.35599999999994
4970000,50783,-252.64500000000004
4980000,50807,-236.79100000000005
4990000,50826,-247.05399999999986
5000000,50840,-252.586
5010000,50861,-260.09099999999995
5020000,50877,-261.07800000000003
5030000,50894,-265.92299999999983
5040000,50916,-218.54199999999994
5050000,50934,-231.31499999999988
5060000,50953,-261.145
5070000,50981,-217.10599999999985
5080000,51009,-243.753
5090000,51034,-248.2729999999999
5100000,51060,-235.73400000000004
5110000,51079,-267.69699999999983
5120000,51099,-262.4849999999999
5130000,51122,-244.72599999999989
5140000,51139,-239.92399999999984
5150000,51154,-252.51899999999995
5160000,51167,-259.72600000000006
5170000,51187,-274.75399999999985
5180000,51210,-258.9659999999998
5190000,51226,-260.87599999999986
5200000,51239,-259.8439999999999
5210000,51260,-261.11799999999994
5220000,51280,-240.40199999999996
5230000,51303,-261.37699999999995
5240000,51330,-237.33399999999983
5250000,51348,-228.04099999999994
5260000,51374,-237.91199999999998
5270000,51398,-258.44199999999984
5280000,51411,-225.47999999999973
5290000,51432,-256.7139999999999
5300000,51453,-242.7229999999998
5310000,51463,-262.4739999999998
5320000,51493,-259.0479999999999
5330000,51508,-274.6239999999998
5340000,51534,-282.36
5350000,51556,-253.14899999999994
5360000,51581,-288.34899999999976
5370000,51600,-297.50200000000007
5380000,51617,-283.9679999999998
5390000,51639,-292.44599999999986
5400000,51663,-278.8959999999997
